Course,Semester,Section,Days,Start Time,End Time
ENG101,Fall,1,MWF,09:00 AM,09:50 AM
ENG101,Fall,2,TR,11:00 AM,12:15 PM
ENG101,Fall,3,MWF,01:00 PM,01:50 PM
ENG101,Spring,1,MWF,10:00 AM,10:50 AM
ENG101,Spring,2,TR,02:00 PM,03:15 PM
ENG101,Summer,1,MTWR,09:00 AM,10:30 AM
ENG201,Fall,1,TR,09:30 AM,10:45 AM
ENG201,Spring,1,TR,11:00 AM,12:15 PM
ENG210,Fall,1,MWF,11:00 AM,11:50 AM
ENG210,Fall,2,TR,01:00 PM,02:15 PM
ENG210,Spring,1,MWF,12:00 PM,12:50 PM
ENG305,Fall,1,TR,02:30 PM,03:45 PM
ENG320,Spring,1,MWF,09:00 AM,09:50 AM
ENG410,Fall,1,TR,03:00 PM,04:15 PM
MATH101,Fall,1,MWF,08:00 AM,08:50 AM
MATH101,Fall,2,TR,10:00 AM,11:15 AM
MATH101,Spring,1,MWF,09:00 AM,09:50 AM
MATH101,Summer,1,MTWR,10:00 AM,11:30 AM
MATH120,Fall,1,MWF,10:00 AM,10:50 AM
MATH120,Spring,1,TR,01:00 PM,02:15 PM
MATH201,Fall,1,MWF,11:00 AM,11:50 AM
MATH201,Fall,2,TR,02:00 PM,03:15 PM
MATH201,Spring,1,MWF,10:00 AM,10:50 AM
MATH202,Spring,1,MWF,11:00 AM,11:50 AM
MATH310,Fall,1,TR,12:30 PM,01:45 PM
MATH420,Spring,1,TR,03:00 PM,04:15 PM
CS101,Fall,1,MWF,09:00 AM,09:50 AM
CS101,Fall,2,TR,12:00 PM,01:15 PM
CS101,Spring,1,MWF,11:00 AM,11:50 AM
CS101,Summer,1,MTWR,01:00 PM,02:30 PM
CS150,Fall,1,TR,10:00 AM,11:15 AM
CS150,Spring,1,TR,02:00 PM,03:15 PM
CS220,Fall,1,MWF,01:00 PM,01:50 PM
CS301,Spring,1,TR,09:30 AM,10:45 AM
CS340,Fall,1,TR,03:30 PM,04:45 PM
CS450,Spring,1,TR,12:30 PM,01:45 PM
PSY101,Fall,1,MWF,10:00 AM,10:50 AM
PSY101,Fall,2,TR,01:00 PM,02:15 PM
PSY101,Spring,1,MWF,09:00 AM,09:50 AM
PSY210,Spring,1,TR,11:00 AM,12:15 PM
PSY230,Fall,1,MWF,12:00 PM,12:50 PM
PSY320,Fall,1,TR,02:30 PM,03:45 PM
PSY350,Spring,1,MWF,01:00 PM,01:50 PM
PSY410,Spring,1,TR,03:30 PM,04:45 PM
BIO101,Fall,1,MWF,08:00 AM,08:50 AM
BIO101,Fall,2,TR,11:00 AM,12:15 PM
BIO101,Spring,1,MWF,10:00 AM,10:50 AM
BIO102,Spring,1,MWF,11:00 AM,11:50 AM
BIO210,Fall,1,TR,09:30 AM,10:45 AM
BIO250,Spring,1,TR,02:00 PM,03:15 PM
BIO330,Fall,1,MWF,01:00 PM,01:50 PM
BIO420,Spring,1,TR,12:00 PM,01:15 PM
